car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
FORD ECOSPORT,FORD,1.5,FLEX,0,2017,2018,47000,Concessionária,São José do Rio Preto,SP,Sudeste,66500,-20.8113,-49.3758,SUV
LIFAN X60,LIFAN,1.8,GASOLINA,0,2016,2016,37000,Pessoa Física,Taubaté,SP,Sudeste,46000,-23.0104,-45.5593,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2019,2020,38880,Loja,Porto Alegre,RS,Sul,82180,-30.0318,-51.2065,Minivan
FIAT DOBLÒ,FIAT,1.8,FLEX,0,2013,2013,121335,Pessoa Física,Japaratinga,AL,Nordeste,42500,-9.08746,-35.2634,Minivan
HYUNDAI CRETA,HYUNDAI,2,FLEX,1,2018,2019,21081,Concessionária,Rio de Janeiro,RJ,Sudeste,102900,-22.9129,-43.2003,SUV
FIAT GRAND SIENA,FIAT,1.4,FLEX,0,2013,2014,85011,Loja,São Paulo,SP,Sudeste,36900,-23.5329,-46.6395,Carro
CHEVROLET TRACKER,CHEVROLET,1.4,FLEX,1,2017,2018,31000,Pessoa Física,Bom Jesus da Lapa,BA,Nordeste,78500,-13.2506,-43.4108,SUV
CITROËN C4 CACTUS,CITROEN,1.6,FLEX,1,2019,2020,46785,Loja,São Paulo,SP,Sudeste,75900,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2021,2021,0,Loja,São Paulo,SP,Sudeste,106890,-23.5329,-46.6395,SUV
RENAULT CAPTUR,RENAULT,1.6,FLEX,0,2018,2019,14000,Loja,São Paulo,SP,Sudeste,79990,-23.5329,-46.6395,Carro
RENAULT DUSTER,RENAULT,2,FLEX,1,2013,2014,64000,Loja,Barueri,SP,Sudeste,53900,-23.5057,-46.879,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,57592,Loja,Betim,MG,Sudeste,53900,-19.9668,-44.2008,Carro
HONDA HR-V,HONDA,1.8,FLEX,1,2016,2017,37000,Loja,São Paulo,SP,Sudeste,97890,-23.5329,-46.6395,SUV
PEUGEOT 2008,PEUGEOT,1.6,FLEX,1,2019,2020,13000,Concessionária,Belo Horizonte,MG,Sudeste,89900,-19.9102,-43.9266,SUV
CHEVROLET SPIN,CHEVROLET,1.8,FLEX,1,2019,2020,6000,Loja,São Paulo,SP,Sudeste,89900,-23.5329,-46.6395,Minivan
CHEVROLET COBALT,CHEVROLET,1.8,FLEX,1,2018,2018,30613,Loja,São Paulo,SP,Sudeste,68790,-23.5329,-46.6395,Carro
TOYOTA COROLLA CROSS,TOYOTA,2,FLEX,1,2021,2022,1500,Loja,São Paulo,SP,Sudeste,166800,-23.5329,-46.6395,SUV
HONDA HR-V,HONDA,1.5,GASOLINA,1,2019,2020,17200,Loja,Campinas,SP,Sudeste,142990,-22.9053,-47.0659,SUV
HYUNDAI CRETA,HYUNDAI,1.6,FLEX,1,2017,2017,40436,Loja,São Paulo,SP,Sudeste,88980,-23.5329,-46.6395,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2019,2020,15800,Loja,São Paulo,SP,Sudeste,118890,-23.5329,-46.6395,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2020,2021,50705,Loja,São Paulo,SP,Sudeste,52390,-23.5329,-46.6395,Carro
HONDA HR-V,HONDA,1.8,FLEX,1,2019,2019,11800,Loja,São Paulo,SP,Sudeste,116000,-23.5329,-46.6395,SUV
RENAULT LOGAN,RENAULT,1,FLEX,0,2019,2020,46099,Loja,Nova Iguaçu,RJ,Sudeste,51890,-22.7556,-43.4603,Carro
RENAULT CAPTUR,RENAULT,1.6,FLEX,1,2020,2021,3972,Pessoa Física,Indaiatuba,SP,Sudeste,98000,-23.0816,-47.2101,Carro
HONDA HR-V,HONDA,1.5,GASOLINA,1,2019,2020,27989,Concessionária,São Paulo,SP,Sudeste,144900,-23.5329,-46.6395,SUV
FORD ECOSPORT,FORD,1.5,FLEX,1,2019,2020,40679,Concessionária,Belo Horizonte,MG,Sudeste,78990,-19.9102,-43.9266,SUV
HONDA HR-V,HONDA,1.8,FLEX,1,2018,2018,26000,Pessoa Física,Manaus,AM,Norte,92000,-3.11866,-60.0212,SUV
CITROËN C4 CACTUS,CITROEN,1.6,FLEX,1,2019,2020,44287,Loja,São Paulo,SP,Sudeste,78900,-23.5329,-46.6395,Carro
JEEP RENEGADE,JEEP,1.8,FLEX,1,2017,2018,34000,Loja,São Paulo,SP,Sudeste,80000,-23.5329,-46.6395,SUV
VOLKSWAGEN T-CROSS,VOLKSWAGEN,1,FLEX,1,2019,2020,20500,Concessionária,São Paulo,SP,Sudeste,106900,-23.5329,-46.6395,SUV
CHERY TIGGO 5x,CHERY,1.5,FLEX,1,2019,2020,19000,Concessionária,São Paulo,SP,Sudeste,106900,-23.5329,-46.6395,SUV
PEUGEOT 2008,PEUGEOT,1.6,FLEX,1,2018,2018,25000,Loja,São Paulo,SP,Sudeste,67890,-23.5329,-46.6395,SUV
